readTime,hpwhW_99240,hpwhW_99162,hpwhW_99155,hpwhW_99150,hpwhW_99149,hpwhW_99148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:02:00,0,5.613314,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:03:00,0,5.691095,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:04:00,0,5.695395,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:05:00,0,5.690526,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:06:00,0,5.643247,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:07:00,0,5.681428,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:08:00,0,5.886806,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:09:00,0,5.855894,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:10:00,0,5.883385,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:11:00,0,5.935676,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:12:00,0,5.917655,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:13:00,0,5.927924,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:14:00,0,5.945761,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:15:00,0,5.898931,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:16:00,0,5.881484,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:17:00,4402.673,5.823611,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:18:00,4401.151,5.750113,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:19:00,4397.158,5.785903,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:20:00,4399.378,5.796258,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:21:00,0,5.812215,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:22:00,0,5.659488,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:23:00,0,5.789637,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:24:00,0,5.872693,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:25:00,0,5.722736,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:26:00,0,5.844762,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:27:00,0,5.806849,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:28:00,0,5.83678,0,0,11.36212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:29:00,0,5.807623,0,0,11.45918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:30:00,0,5.72107,0,0,493.6103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:31:00,0,5.754274,0,0,496.1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:32:00,0,5.790275,0,0,497.1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:33:00,0,5.887784,0,0,493.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:34:00,0,5.829607,0,0,489.6747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:35:00,0,5.82584,0,0,488.1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:36:00,0,5.791636,0,0,496.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:37:00,0,5.787416,0,0,495.7879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:38:00,0,5.839847,0,0,500.7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:39:00,0,5.842767,0,0,505.4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:40:00,0,5.789292,0,0,506.0876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:41:00,0,5.863822,0,0,508.2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:42:00,0,5.800862,0,0,508.2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:43:00,0,5.827609,0,0,508.3424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:44:00,0,5.804852,0,0,510.5242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:45:00,0,5.814618,0,0,509.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:46:00,0,5.786893,0,0,510.3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:47:00,0,5.821613,0,0,512.6975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:48:00,0,5.847205,0,0,511.8217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:49:00,0,5.857544,0,0,514.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:50:00,0,5.698548,0,0,513.6018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:51:00,0,5.705106,0,0,514.8846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:52:00,0,5.669188,0,0,515.2842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:53:00,0,5.653224,0,0,516.5998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:54:00,0,5.646646,0,0,516.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:55:00,0,5.654033,0,0,516.5135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:56:00,0,5.686267,0,0,516.6912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:57:00,0,5.648888,0,0,518.8118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:58:00,0,5.662875,0,0,520.7333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 03:59:00,0,5.680573,0,0,519.9104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
